1	62920	2026436	341	-0.0572
1	2026474	3298168	396	-0.1665
1	3301765	25247980	13267	-0.0073
1	25248216	25278567	18	0.3718
1	25284629	25320455	12	0.9131
1	25336819	72303233	28713	0.0013
1	72303253	72345465	45	-1.4066
1	72346221	108223733	22893	0.0047
1	108226680	108274557	2	-2.5708
1	108310648	109690352	675	0.0294
1	109690415	109697556	12	-1.6905
1	109702376	152583230	9574	0.0109
1	152583291	152613762	30	-1.6682
1	152613802	152614118	4	-0.7408
1	152618018	152787202	166	-0.0118
1	152789447	152796224	37	-1.7811
1	152801429	169247699	11271	0.0007
1	169264736	169272528	7	0.9051
1	169273163	182726982	8924	-0.0002
1	182729222	182733066	3	-1.4453
1	182737061	189307859	4253	-0.0006
1	189308148	189544421	141	0.1795
1	189546287	193244080	2545	0.0193
1	193244261	193244344	4	1.3018
1	193252785	196769652	2294	0.0195
1	196769851	196847600	54	0.4734
